,date,id,Tweets,likes,retweets
26,2023-02-07 06:24:05+00:00,1622843623774769152,"@rishibagree Congress is hand in glove with the international conspiracy of Hindenberg Research report. Pehle pappu Shor machata hai, fir kahin international location se attack kiya jata hai aur fir pappu kehta hai ko maine to kaha hee tha.
@ArvindKejriwal @narendramodi 
@AMISHDEVGAN",0,0
27,2023-02-07 05:41:03+00:00,1622832795243651072,@rahulshuklaiyc @srinivasiyc I don't know you know the subject or for poltics only if it's for politics it's OK. Hindenberg report read it's opinion only they think something is wrong like you but you don't have proof.,0,0
28,2023-02-07 05:20:38+00:00,1622827655535136768,"Hindenberg should make a report on fake baba ramdev's companies too...
How many agree??",0,0
29,2023-02-07 05:07:15+00:00,1622824286082957314,"#HindenbergReport shorts seller hi toh hai - 
In sab ki chaddi utaar di aur karodon mein bechi 🤣😝 https://t.co/2K4DKxwpg5",0,0
30,2023-02-07 04:53:24+00:00,1622820804009377792,@sm63 U shud give loss of cos since Hindenberg report not from last 12 months.🤔,0,0
31,2023-02-07 04:25:45+00:00,1622813845906677761,"Adani is not India and India 
is not Adani. 
The #Hindenberg report 
pointed fingers at #AdaniGroups, not India.

A great man once said 
""Patriotism is the Last 
Refuge of the Scoundrel"".",9,0
32,2023-02-07 04:16:12+00:00,1622811441517694978,"@anandmahindra Correct! This hindenberg report was also placed to make huge losses to indian traders.

And thats the only truth it was issue in jealousy to destroy indian economy.",0,0
33,2023-02-07 04:03:18+00:00,1622808192760844288,"@Nimirndhu_Nil @sumanthraman @Isriramseshadri 100 page report doesn't mean evidence. Hindenberg is facing charges in US for similar hit-job. They have been banned from reporting on companies by US regulators. So what if Dowjones trusts it?

Hope sense prevails among inferior feeling bloakes to not trust White skins outright.",0,0
34,2023-02-07 03:42:24+00:00,1622802932881293313,"@_prashantnair Its purely bcoz of Adani-hindenberg report, outflow from Equity market. Expecting to retest 82.20 once market is stabilized.",0,0
35,2023-02-07 03:33:14+00:00,1622800627847016454,@Jairam_Ramesh The biggest liar on the Indian political scenario is Congress. Everytime parliament session is due they take up irrelevant issues like Hindenberg report &amp; LIC/SBI investment in Adani. Factually speaking their investment in adani is less than one % of their total funds invested.,0,0
36,2023-02-07 03:18:37+00:00,1622796948981035009,@diamondtrades7 @TheFactFindr This party will break apart as things are going. Gujarat lobby vs the rest fight will be out in the open the moment a few elections are lost... Some say that the hindenberg report was given by whistleblowers from non Gujarati corporate camp as they lost all business to adani.,1,0
37,2023-02-07 02:43:38+00:00,1622788143866068993,"@narendramodi @sambitswaraj More than this budget people are discussing Hindenberg report published on Adani scams.
Mr Prime Minister will you gather courage to speak on Adani scam or we believe that there is no 56' but a Coward and a weak corrupt person !",2,0
38,2023-02-06 20:33:24+00:00,1622694975027957760,"@srinivasiyc As per US laws and Hindenburg disclaimer,it's only a opinion report. It's based on info. in public domain &amp; assumptions to create panic. Hindenberg won defamation cases in US filed byEROS Intl.&amp;Chinese co.Yangtze. Now both cos trying to recover but short seller made huge profits.",0,0
39,2023-02-06 20:02:33+00:00,1622687207747362816,"@MumukshuSavitri When ‘Acts of god’ like earthquake and floods hurt our enemies, proves that India has divine blessing

Other countries supporting our enemies should take note specifically US after providing aid to Pak &amp; disrupting our economy with Hindenberg report",0,0
40,2023-02-06 19:48:47+00:00,1622683746427146246,"Does anyone actually think Adani is truthful in it’s defense against Hindenberg report?

How much more can this blow up lol",0,0
41,2023-02-06 19:13:53+00:00,1622674963307298816,"@t_d_h_nair Hindenberg-1st they shorted  Adani stocks &amp; then ignited the spark through a report which provides no new info other than what is already available in public domain

World is not happy with growing influence of India, Indian businesses &amp; Modiji",0,0
42,2023-02-06 18:37:55+00:00,1622665909637718019,"@Shresht05419353 @amitmalviya @RahulGandhi The voters cleaned bowled to listening ruling party defending a businessperson, whose company shares were reduced by half due to the Hindenberg report. If BJP has nothing to do with him, why it is worrying about Rahul Gandhi's accusation of Adani?",4,0
43,2023-02-06 18:17:31+00:00,1622660779056181248,Are Hindenberg’s report enough today cast aspersions on Adani group? https://t.co/0lNxFQ8QwB,115,42
44,2023-02-06 18:15:34+00:00,1622660286300962816,"@AskAnshul Clearly visible you increased video speed  so Original speed is 90 kmph only. Simple maths bruh 
You andhbhakts gone crazy after hindenberg report",0,0
45,2023-02-06 17:21:11+00:00,1622646598575722496,"@RajeshV101 @meriteshkashyap @SushantBSinha Hindenberg wale chor ko safai kyu de
Jo khud fraud hai wo kya report dega",1,0
46,2023-02-06 17:18:49+00:00,1622646005165604864,"From this, I can tell you that all these jokers who have been jumping on the Hindenberg report that LIC and India’s Banking system are held ransom to Adani’s whims and fancy—please smell the coffee.",0,0
47,2023-02-06 17:18:07+00:00,1622645828027285506,@Kartik83Prasad @sumanthraman @Isriramseshadri Hindenberg did not produce a cinema script to discredit their evidences. They did not just like that cause Adani to loose $108 Bn. They are trusted by foreign investors. Even Dow Jones &amp; major global credit orgs trust their report. Bhakts in La La Land don't &amp; they will suffer.,1,0
48,2023-02-06 17:02:21+00:00,1622641860668977152,"@sagarikaghose @TheEconomist Any evidence?

Why Hindenberg unable to establish this?

Or is it your own report or the report of an associate to the Hindenberg??",0,0
49,2023-02-06 16:55:09+00:00,1622640048645754880,"@Nimirndhu_Nil @sumanthraman @Isriramseshadri India is not a banana republic. Bring prima-facie evidence and then ask for investigation. If Govt. does not respond why doesn't Opp to go to courts?

He said so, report says so, I trust Hindenberg etc. do not matter. Bring evidence to the table.",0,0
50,2023-02-06 16:53:47+00:00,1622639705996263426,"@INCIndia I really do not know whether report by Hindenberg is credible or not but highlights a very big risk to the Indian stock market and India both. Any Tom, Dick and Harry can prepare such reports and disrupt the market.",0,0
51,2023-02-06 16:34:15+00:00,1622634788141006851,"@Kartik83Prasad @sumanthraman @Isriramseshadri Why can't it be hindenberg report? Any Indian investigation would have directly invited ED, NIA &amp; CBI at their doorsteps. We saw it recently,  how these agencies were used as a tool to intimidate political opponents by the BJP Govt.

ஆனா இப்போ திருடனுக்கு தேள் கொட்டிய கதை.",0,0
